序号,零部件名称,供应商名称,故障类型,故障现象,原因分析,临时措施,永久措施,问题描述,D2-问题描述,发生频次,临时措施1,临时措施2,临时措施3,永久措施1,永久措施2,永久措施3,根本原因,流出原因
2598,前门密封条,网新恒天网络有限公司,材料,划伤,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",前门密封条在焊装车间发现划伤问题,客户反馈批次B93334的前门密封条存在材料问题,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2599,后顶盖外板组件,太极信息有限公司,电气,色差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",后顶盖外板组件在焊装车间发现色差问题,在焊装车间发现9件色差缺陷,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
2600,线束总成,迪摩网络有限公司,电气,压印,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B18716
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B18716的线束总成出现批量电气缺陷,迪摩网络有限公司交付的线束总成在工厂017检测不合格,初次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2601,ECU控制器,创联世纪传媒有限公司,功能,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B52816
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",ECU控制器在涂装车间发现间隙超差问题,在涂装车间发现22件间隙超差缺陷,多次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2602,ECU控制器,浙大万朋传媒有限公司,功能,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",ECU控制器在发运场发现短路问题,在发运场发现13件短路缺陷,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2603,后顶盖外板组件,明腾科技有限公司,尺寸,划伤,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B96849
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",明腾科技有限公司供应的后顶盖外板组件在装配过程中出现划伤,明腾科技有限公司交付的后顶盖外板组件在工厂014检测不合格,多次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2604,ECU控制器,四通信息有限公司,外观,间隙超差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B69211的ECU控制器出现批量外观缺陷,在商品化区域发现10件间隙超差缺陷,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2605,线束总成,国讯科技有限公司,电气,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",国讯科技有限公司供应的线束总成在装配过程中出现短路,在涂装车间发现45件短路缺陷,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2606,车门铰链总成,凌云科技有限公司,尺寸,压印,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次/
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",车门铰链总成在涂装车间发现压印问题,凌云科技有限公司交付的车门铰链总成在工厂015检测不合格,再次,立即隔离可疑批次/,启用备用供应商,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2607,ECU控制器,凌云网络有限公司,外观,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次/
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",凌云网络有限公司供应的ECU控制器在装配过程中出现压印,凌云网络有限公司交付的ECU控制器在工厂012检测不合格,多次,立即隔离可疑批次/,启用备用供应商,,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
2608,前门密封条,时刻科技有限公司,外观,色差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",时刻科技有限公司供应的前门密封条在装配过程中出现色差,客户反馈批次B83377的前门密封条存在外观问题,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
2609,后顶盖外板组件,泰麒麟信息有限公司,外观,压印,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B82451
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",泰麒麟信息有限公司供应的后顶盖外板组件在装配过程中出现压印,在商品化区域发现19件压印缺陷,多次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2610,车门铰链总成,鑫博腾飞网络有限公司,功能,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",车门铰链总成在焊装车间发现短路问题,客户反馈批次B29353的车门铰链总成存在功能问题,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,胶水固化参数设置错误,过程巡检未包含此特性检查
2611,ECU控制器,MBP软件科技有限公司,材料,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",MBP软件科技有限公司供应的ECU控制器在装配过程中出现短路,MBP软件科技有限公司交付的ECU控制器在工厂010检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2612,车门铰链总成,雨林木风计算机网络有限公司,外观,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B72093的车门铰链总成出现批量外观缺陷,雨林木风计算机网络有限公司交付的车门铰链总成在工厂010检测不合格,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2613,ECU控制器,MBP软件信息有限公司,功能,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B81222的ECU控制器出现批量功能缺陷,MBP软件信息有限公司交付的ECU控制器在工厂005检测不合格,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2614,线束总成,时空盒数字传媒有限公司,外观,色差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",时空盒数字传媒有限公司供应的线束总成在装配过程中出现色差,在涂装车间发现20件色差缺陷,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
2615,车门铰链总成,创汇信息有限公司,尺寸,划伤,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",车门铰链总成在发运场发现划伤问题,在发运场发现33件划伤缺陷,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,胶水固化参数设置错误,过程巡检未包含此特性检查
2616,线束总成,群英信息有限公司,尺寸,色差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B13390
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",群英信息有限公司供应的线束总成在装配过程中出现色差,群英信息有限公司交付的线束总成在工厂020检测不合格,多次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2617,前门密封条,海创信息有限公司,外观,划伤,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",前门密封条在发运场发现划伤问题,在发运场发现17件划伤缺陷,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2618,线束总成,快讯科技有限公司,尺寸,色差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B76829
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",批次B76829的线束总成出现批量尺寸缺陷,在发运场发现37件色差缺陷,再次,启用备用供应商,,,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
2619,ECU控制器,网新恒天信息有限公司,尺寸,划伤,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次/
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次/的ECU控制器出现批量尺寸缺陷,在发运场发现20件划伤缺陷,再次,立即隔离可疑批次/,启用备用供应商,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2620,后顶盖外板组件,迪摩传媒有限公司,外观,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",后顶盖外板组件在涂装车间发现间隙超差问题,在涂装车间发现45件间隙超差缺陷,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
2621,前门密封条,图龙信息传媒有限公司,尺寸,间隙超差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B97679
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",图龙信息传媒有限公司供应的前门密封条在装配过程中出现间隙超差,在发运场发现22件间隙超差缺陷,初次,启用备用供应商,,,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2622,前门密封条,海创科技有限公司,外观,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次/
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次/的前门密封条出现批量外观缺陷,客户反馈批次/的前门密封条存在外观问题,多次,立即隔离可疑批次/,启用备用供应商,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2623,ECU控制器,精芯信息有限公司,外观,压印,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B94799
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B94799的ECU控制器出现批量外观缺陷,精芯信息有限公司交付的ECU控制器在工厂013检测不合格,初次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2624,后顶盖外板组件,昊嘉传媒有限公司,电气,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",昊嘉传媒有限公司供应的后顶盖外板组件在装配过程中出现压印,在发运场发现19件压印缺陷,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2625,ECU控制器,天开信息有限公司,材料,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",天开信息有限公司供应的ECU控制器在装配过程中出现间隙超差,在焊装车间发现32件间隙超差缺陷,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
2626,线束总成,万迅电脑网络有限公司,材料,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B83488的线束总成出现批量材料缺陷,在商品化区域发现5件短路缺陷,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2627,ECU控制器,诺依曼软件网络有限公司,电气,压印,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B99635的ECU控制器出现批量电气缺陷,在总装车间发现42件压印缺陷,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2628,后顶盖外板组件,MBP软件科技有限公司,材料,短路,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B37979
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",批次B37979的后顶盖外板组件出现批量材料缺陷,在涂装车间发现5件短路缺陷,多次,启用备用供应商,,,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2629,车门铰链总成,恩悌网络有限公司,功能,压印,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B56332的车门铰链总成出现批量功能缺陷,客户反馈批次B56332的车门铰链总成存在功能问题,多次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2630,ECU控制器,通际名联科技有限公司,功能,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",通际名联科技有限公司供应的ECU控制器在装配过程中出现色差,客户反馈批次B38320的ECU控制器存在功能问题,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2631,后顶盖外板组件,国讯网络有限公司,尺寸,短路,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B70048的后顶盖外板组件出现批量尺寸缺陷,在发运场发现23件短路缺陷,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2632,前门密封条,联通时科传媒有限公司,材料,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B27587的前门密封条出现批量材料缺陷,客户反馈批次B27587的前门密封条存在材料问题,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
2633,车门铰链总成,泰麒麟信息有限公司,材料,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",泰麒麟信息有限公司供应的车门铰链总成在装配过程中出现间隙超差,泰麒麟信息有限公司交付的车门铰链总成在工厂004检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2634,前门密封条,迪摩信息有限公司,材料,色差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B31478的前门密封条出现批量材料缺陷,客户反馈批次B31478的前门密封条存在材料问题,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2635,车门铰链总成,戴硕电子信息有限公司,材料,压印,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次/的车门铰链总成出现批量材料缺陷,戴硕电子信息有限公司交付的车门铰链总成在工厂020检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2636,车门铰链总成,易动力网络有限公司,材料,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",易动力网络有限公司供应的车门铰链总成在装配过程中出现短路,在总装车间发现20件短路缺陷,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2637,后顶盖外板组件,艾提科信科技有限公司,材料,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B10085的后顶盖外板组件出现批量材料缺陷,在总装车间发现8件压印缺陷,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
2638,后顶盖外板组件,迪摩信息有限公司,外观,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次/
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",后顶盖外板组件在发运场发现色差问题,客户反馈批次/的后顶盖外板组件存在外观问题,多次,立即隔离可疑批次/,启用备用供应商,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
2639,前门密封条,群英科技有限公司,材料,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",前门密封条在商品化区域发现短路问题,客户反馈批次B23748的前门密封条存在材料问题,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
2640,ECU控制器,合联电子传媒有限公司,电气,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B11494
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B11494的ECU控制器出现批量电气缺陷,在焊装车间发现5件间隙超差缺陷,多次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
2641,ECU控制器,飞海科技信息有限公司,尺寸,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",飞海科技信息有限公司供应的ECU控制器在装配过程中出现色差,飞海科技信息有限公司交付的ECU控制器在工厂017检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
