零件名称,供应商名称,问题描述,故障类别,故障现象,临时措施1,临时措施2,临时措施3,原因分析1,原因分析2
线束总成,惠派国际公司传媒有限公司,04月24日，焊装车间反馈焊接虚焊导致结构强度不足,尺寸,连接强度不足,1. 启动整车排查，排查191台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,立信电子传媒有限公司,08月08日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,新宇龙信息传媒有限公司,07月11日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,功能失效,1. 立即隔离可疑批次，共隔离195件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,华成育卓传媒有限公司,11月01日，焊装车间反馈密封条开胶导致漏水风险,尺寸,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,济南亿次元传媒有限公司,04月17日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,连接强度不足,1. 启动整车排查，排查137台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,维旺明科技有限公司,03月06日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,昊嘉科技有限公司,09月26日，发运场反馈电子元件短路导致功能失效,尺寸,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,襄樊地球村信息有限公司,10月24日，商品化区域反馈密封条开胶导致漏水风险,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,晖来计算机网络有限公司,08月11日，总装车间反馈电子元件短路导致功能失效,结构,异响,1. 立即隔离可疑批次，共隔离153件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,巨奥信息有限公司,11月06日，发运场反馈密封条开胶导致漏水风险,电气,间隙超差,1. 启动整车排查，排查62台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,惠派国际公司传媒有限公司,12月13日，商品化区域反馈焊接虚焊导致结构强度不足,电气,功能失效,1. 立即隔离可疑批次，共隔离457件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,富罳信息有限公司,04月10日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,菊风公司传媒有限公司,01月13日，发运场反馈密封条开胶导致漏水风险,功能,功能失效,1. 启动整车排查，排查132台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,迪摩科技有限公司,02月21日，总装车间反馈密封条开胶导致漏水风险,尺寸,连接强度不足,1. 启动整车排查，排查129台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,同兴万点传媒有限公司,08月01日，焊装车间反馈焊接虚焊导致结构强度不足,外观,外观缺陷,1. 启动整车排查，排查57台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,联通时科信息有限公司,06月07日，焊装车间反馈表面涂层脱落影响外观质量,功能,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,济南亿次元传媒有限公司,08月25日，涂装车间反馈尺寸超差导致装配间隙过大,结构,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,彩虹传媒有限公司,09月24日，焊装车间反馈密封条开胶导致漏水风险,外观,间隙超差,1. 启动整车排查，排查95台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,同兴万点信息有限公司,10月17日，焊装车间反馈尺寸超差导致装配间隙过大,结构,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,襄樊地球村传媒有限公司,01月03日，总装车间反馈电子元件短路导致功能失效,尺寸,异响,1. 启动整车排查，排查174台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,天益信息有限公司,08月31日，总装车间反馈密封条开胶导致漏水风险,尺寸,异响,1. 启动整车排查，排查91台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,飞利信信息有限公司,02月23日，发运场反馈密封条开胶导致漏水风险,结构,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,恒聪百汇信息有限公司,12月25日，总装车间反馈密封条开胶导致漏水风险,外观,外观缺陷,1. 启动整车排查，排查66台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,襄樊地球村科技有限公司,08月16日，发运场反馈尺寸超差导致装配间隙过大,功能,连接强度不足,1. 立即隔离可疑批次，共隔离481件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,超艺网络有限公司,09月28日，涂装车间反馈表面涂层脱落影响外观质量,尺寸,连接强度不足,1. 立即隔离可疑批次，共隔离337件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,巨奥网络有限公司,06月25日，总装车间反馈密封条开胶导致漏水风险,结构,异响,1. 启动整车排查，排查158台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,开发区世创网络有限公司,07月24日，总装车间反馈焊接虚焊导致结构强度不足,尺寸,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,济南亿次元传媒有限公司,01月15日，总装车间反馈密封条开胶导致漏水风险,尺寸,功能失效,1. 启动整车排查，排查103台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,太极科技有限公司,05月05日，商品化区域反馈表面涂层脱落影响外观质量,电气,异响,1. 启动整车排查，排查72台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,趋势网络有限公司,10月14日，涂装车间反馈尺寸超差导致装配间隙过大,外观,外观缺陷,1. 立即隔离可疑批次，共隔离363件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,天开网络有限公司,03月07日，焊装车间反馈密封条开胶导致漏水风险,电气,异响,1. 立即隔离可疑批次，共隔离417件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,东方峻景科技有限公司,09月05日，涂装车间反馈表面涂层脱落影响外观质量,尺寸,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,泰麒麟科技有限公司,01月04日，商品化区域反馈表面涂层脱落影响外观质量,结构,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,创亿传媒有限公司,07月30日，焊装车间反馈焊接虚焊导致结构强度不足,尺寸,功能失效,1. 启动整车排查，排查88台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,商软冠联信息有限公司,04月07日，焊装车间反馈表面涂层脱落影响外观质量,结构,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,佳禾信息有限公司,04月26日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,异响,1. 启动整车排查，排查63台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,创联世纪传媒有限公司,01月17日，总装车间反馈表面涂层脱落影响外观质量,尺寸,异响,1. 启动整车排查，排查192台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,毕博诚网络有限公司,06月06日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,同兴万点科技有限公司,09月26日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,间隙超差,1. 立即隔离可疑批次，共隔离283件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,数字100网络有限公司,12月25日，商品化区域反馈焊接虚焊导致结构强度不足,功能,连接强度不足,1. 立即隔离可疑批次，共隔离380件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,易动力科技有限公司,04月01日，总装车间反馈焊接虚焊导致结构强度不足,功能,外观缺陷,1. 立即隔离可疑批次，共隔离174件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,创汇信息有限公司,08月11日，商品化区域反馈焊接虚焊导致结构强度不足,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,四通网络有限公司,01月30日，发运场反馈焊接虚焊导致结构强度不足,尺寸,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,佳禾网络有限公司,07月12日，总装车间反馈电子元件短路导致功能失效,外观,异响,1. 立即隔离可疑批次，共隔离403件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,通际名联传媒有限公司,05月12日，焊装车间反馈电子元件短路导致功能失效,结构,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,迪摩信息有限公司,12月10日，焊装车间反馈密封条开胶导致漏水风险,功能,异响,1. 立即隔离可疑批次，共隔离453件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,万迅电脑信息有限公司,08月01日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,电气,功能失效,1. 启动整车排查，排查144台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,商软冠联信息有限公司,01月24日，涂装车间反馈密封条开胶导致漏水风险,电气,连接强度不足,1. 立即隔离可疑批次，共隔离82件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,和泰传媒有限公司,11月02日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,异响,1. 立即隔离可疑批次，共隔离329件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,恩悌传媒有限公司,02月05日，发运场反馈表面涂层脱落影响外观质量,尺寸,异响,1. 立即隔离可疑批次，共隔离51件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,南康传媒有限公司,02月09日，商品化区域反馈电子元件短路导致功能失效,尺寸,连接强度不足,1. 启动整车排查，排查82台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,创汇信息有限公司,09月24日，总装车间反馈焊接虚焊导致结构强度不足,电气,间隙超差,1. 启动整车排查，排查83台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,联软科技有限公司,05月06日，商品化区域反馈密封条开胶导致漏水风险,电气,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,飞利信传媒有限公司,09月25日，涂装车间反馈密封条开胶导致漏水风险,结构,异响,1. 启动整车排查，排查120台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,明腾信息有限公司,08月05日，焊装车间反馈焊接虚焊导致结构强度不足,外观,间隙超差,1. 启动整车排查，排查67台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,MBP软件信息有限公司,10月01日，总装车间反馈焊接虚焊导致结构强度不足,电气,异响,1. 启动整车排查，排查59台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,合联电子信息有限公司,03月13日，商品化区域反馈电子元件短路导致功能失效,功能,间隙超差,1. 启动整车排查，排查133台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,网新恒天科技有限公司,04月02日，商品化区域反馈尺寸超差导致装配间隙过大,结构,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,方正科技科技有限公司,06月11日，商品化区域反馈密封条开胶导致漏水风险,外观,连接强度不足,1. 立即隔离可疑批次，共隔离419件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,飞利信信息有限公司,11月23日，涂装车间反馈焊接虚焊导致结构强度不足,功能,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,南康科技有限公司,05月22日，发运场反馈密封条开胶导致漏水风险,结构,外观缺陷,1. 立即隔离可疑批次，共隔离97件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,商软冠联传媒有限公司,02月26日，总装车间反馈电子元件短路导致功能失效,功能,异响,1. 启动整车排查，排查120台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,信诚致远传媒有限公司,05月17日，总装车间反馈焊接虚焊导致结构强度不足,电气,外观缺陷,1. 立即隔离可疑批次，共隔离213件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,黄石金承信息有限公司,09月14日，商品化区域反馈表面涂层脱落影响外观质量,结构,异响,1. 立即隔离可疑批次，共隔离363件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,双敏电子科技有限公司,05月03日，发运场反馈焊接虚焊导致结构强度不足,电气,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,毕博诚信息有限公司,07月29日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,异响,1. 启动整车排查，排查75台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,黄石金承信息有限公司,03月15日，焊装车间反馈表面涂层脱落影响外观质量,功能,外观缺陷,1. 启动整车排查，排查67台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,盟新科技有限公司,04月24日，商品化区域反馈尺寸超差导致装配间隙过大,电气,外观缺陷,1. 立即隔离可疑批次，共隔离143件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,毕博诚信息有限公司,02月04日，焊装车间反馈电子元件短路导致功能失效,结构,异响,1. 立即隔离可疑批次，共隔离276件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,泰麒麟传媒有限公司,01月16日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,外观缺陷,1. 启动整车排查，排查197台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,合联电子网络有限公司,09月07日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,连接强度不足,1. 立即隔离可疑批次，共隔离485件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,银嘉传媒有限公司,11月04日，发运场反馈焊接虚焊导致结构强度不足,功能,连接强度不足,1. 立即隔离可疑批次，共隔离376件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,网新恒天信息有限公司,08月02日，焊装车间反馈焊接虚焊导致结构强度不足,电气,异响,1. 启动整车排查，排查180台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,艾提科信网络有限公司,08月23日，总装车间反馈电子元件短路导致功能失效,尺寸,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,时刻传媒有限公司,06月21日，商品化区域反馈密封条开胶导致漏水风险,电气,连接强度不足,1. 立即隔离可疑批次，共隔离404件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,思优网络有限公司,03月14日，焊装车间反馈表面涂层脱落影响外观质量,电气,连接强度不足,1. 启动整车排查，排查166台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,图龙信息传媒有限公司,03月25日，发运场反馈电子元件短路导致功能失效,功能,间隙超差,1. 启动整车排查，排查136台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,太极传媒有限公司,07月04日，总装车间反馈尺寸超差导致装配间隙过大,电气,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,九方网络有限公司,02月15日，总装车间反馈焊接虚焊导致结构强度不足,功能,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,商软冠联传媒有限公司,12月26日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,外观缺陷,1. 启动整车排查，排查191台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,毕博诚传媒有限公司,02月08日，焊装车间反馈电子元件短路导致功能失效,外观,外观缺陷,1. 启动整车排查，排查77台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,联软信息有限公司,08月19日，焊装车间反馈电子元件短路导致功能失效,结构,功能失效,1. 启动整车排查，排查197台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,昊嘉传媒有限公司,12月10日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,电气,间隙超差,1. 立即隔离可疑批次，共隔离478件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,菊风公司科技有限公司,04月04日，商品化区域反馈电子元件短路导致功能失效,结构,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,迪摩信息有限公司,10月05日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,巨奥网络有限公司,08月16日，总装车间反馈密封条开胶导致漏水风险,结构,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,创亿科技有限公司,06月20日，总装车间反馈密封条开胶导致漏水风险,电气,外观缺陷,1. 启动整车排查，排查138台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,恩悌科技有限公司,02月23日，商品化区域反馈表面涂层脱落影响外观质量,功能,外观缺陷,1. 启动整车排查，排查129台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,浙大万朋网络有限公司,06月20日，涂装车间反馈密封条开胶导致漏水风险,外观,外观缺陷,1. 立即隔离可疑批次，共隔离162件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,飞利信网络有限公司,11月23日，商品化区域反馈焊接虚焊导致结构强度不足,尺寸,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,维涛网络有限公司,09月06日，发运场反馈尺寸超差导致装配间隙过大,外观,连接强度不足,1. 启动整车排查，排查85台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,创汇网络有限公司,04月28日，焊装车间反馈电子元件短路导致功能失效,功能,间隙超差,1. 启动整车排查，排查110台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,飞海科技科技有限公司,10月22日，焊装车间反馈表面涂层脱落影响外观质量,电气,外观缺陷,1. 立即隔离可疑批次，共隔离164件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,中建创业科技有限公司,09月03日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,外观缺陷,1. 启动整车排查，排查111台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
