序号,零部件名称,供应商名称,故障类型,故障现象,故障比例(%),根本原因
2686,线束总成,华远软件传媒有限公司,尺寸,色差,0.7,胶水固化参数设置错误
2687,车门铰链总成,同兴万点网络有限公司,外观,间隙超差,4.4,设备定位销磨损导致加工位置度超差
2688,ECU控制器,海创网络有限公司,外观,间隙超差,3.3,来料批次材料硬度超标
2689,车门铰链总成,艾提科信信息有限公司,尺寸,压印,1.5,设备定位销磨损导致加工位置度超差
2690,后顶盖外板组件,诺依曼软件信息有限公司,外观,划伤,4.1,设备定位销磨损导致加工位置度超差
2691,后顶盖外板组件,佳禾科技有限公司,尺寸,划伤,1.1,设备定位销磨损导致加工位置度超差
2692,前门密封条,晖来计算机网络有限公司,外观,短路,1.7,胶水固化参数设置错误
2693,线束总成,迪摩科技有限公司,材料,短路,4,设备定位销磨损导致加工位置度超差
2694,后顶盖外板组件,天益网络有限公司,尺寸,间隙超差,3,胶水固化参数设置错误
2695,前门密封条,明腾传媒有限公司,电气,短路,0.4,来料批次材料硬度超标
2696,车门铰链总成,思优科技有限公司,尺寸,划伤,1.1,胶水固化参数设置错误
2697,车门铰链总成,南康网络有限公司,尺寸,压印,2.1,胶水固化参数设置错误
2698,车门铰链总成,凌云传媒有限公司,电气,短路,4.2,胶水固化参数设置错误
2699,前门密封条,联通时科传媒有限公司,电气,短路,1.6,来料批次材料硬度超标
2700,线束总成,方正科技信息有限公司,尺寸,划伤,3.7,来料批次材料硬度超标
2701,ECU控制器,新格林耐特信息有限公司,材料,色差,1.1,胶水固化参数设置错误
2702,后顶盖外板组件,晖来计算机信息有限公司,材料,短路,2.1,设备定位销磨损导致加工位置度超差
2703,前门密封条,恒聪百汇信息有限公司,功能,色差,0.9,设备定位销磨损导致加工位置度超差
2704,后顶盖外板组件,精芯网络有限公司,材料,压印,2.7,设备定位销磨损导致加工位置度超差
2705,线束总成,泰麒麟信息有限公司,尺寸,色差,4.9,设备定位销磨损导致加工位置度超差
2706,前门密封条,创联世纪信息有限公司,外观,短路,4.6,胶水固化参数设置错误
2707,车门铰链总成,图龙信息网络有限公司,电气,短路,1.6,胶水固化参数设置错误
2708,ECU控制器,快讯传媒有限公司,尺寸,间隙超差,4.4,来料批次材料硬度超标
2709,前门密封条,襄樊地球村信息有限公司,电气,间隙超差,2.8,设备定位销磨损导致加工位置度超差
2710,ECU控制器,富罳科技有限公司,电气,短路,3.3,来料批次材料硬度超标
2711,前门密封条,立信电子传媒有限公司,功能,短路,1.8,胶水固化参数设置错误
2712,前门密封条,南康信息有限公司,材料,色差,0.1,胶水固化参数设置错误
2713,后顶盖外板组件,浦华众城信息有限公司,功能,压印,2,胶水固化参数设置错误
2714,线束总成,七喜信息有限公司,尺寸,压印,0.5,设备定位销磨损导致加工位置度超差
2715,前门密封条,时刻网络有限公司,外观,间隙超差,0.1,胶水固化参数设置错误
2716,ECU控制器,恩悌科技有限公司,材料,划伤,1.8,胶水固化参数设置错误
2717,后顶盖外板组件,信诚致远传媒有限公司,尺寸,划伤,2.1,胶水固化参数设置错误
2718,ECU控制器,双敏电子网络有限公司,尺寸,压印,1.2,胶水固化参数设置错误
2719,车门铰链总成,易动力网络有限公司,电气,划伤,0.7,设备定位销磨损导致加工位置度超差
2720,前门密封条,立信电子传媒有限公司,尺寸,间隙超差,2.6,胶水固化参数设置错误
2721,线束总成,恒聪百汇信息有限公司,电气,间隙超差,1.9,设备定位销磨损导致加工位置度超差
2722,线束总成,创汇网络有限公司,电气,压印,4.7,设备定位销磨损导致加工位置度超差
2723,车门铰链总成,明腾网络有限公司,外观,压印,0.2,设备定位销磨损导致加工位置度超差
2724,后顶盖外板组件,华远软件信息有限公司,尺寸,间隙超差,4.5,来料批次材料硬度超标
2725,线束总成,凌云传媒有限公司,电气,短路,1.5,胶水固化参数设置错误
2726,前门密封条,昊嘉信息有限公司,电气,间隙超差,3.3,胶水固化参数设置错误
2727,前门密封条,晖来计算机传媒有限公司,功能,间隙超差,1.6,胶水固化参数设置错误
2728,线束总成,天益信息有限公司,功能,间隙超差,2.2,胶水固化参数设置错误
2729,线束总成,新格林耐特网络有限公司,尺寸,间隙超差,1.1,胶水固化参数设置错误
2730,前门密封条,图龙信息信息有限公司,功能,划伤,4.4,设备定位销磨损导致加工位置度超差
2731,后顶盖外板组件,数字100传媒有限公司,材料,色差,5,胶水固化参数设置错误
2732,车门铰链总成,同兴万点传媒有限公司,材料,色差,4.3,设备定位销磨损导致加工位置度超差
2733,后顶盖外板组件,和泰科技有限公司,外观,短路,1.5,来料批次材料硬度超标
2734,线束总成,群英科技有限公司,电气,短路,2.1,来料批次材料硬度超标
2735,ECU控制器,明腾传媒有限公司,材料,间隙超差,0.6,设备定位销磨损导致加工位置度超差
2736,ECU控制器,浦华众城信息有限公司,外观,压印,4.4,设备定位销磨损导致加工位置度超差
2737,车门铰链总成,戴硕电子信息有限公司,电气,间隙超差,0.2,胶水固化参数设置错误
2738,前门密封条,时刻网络有限公司,电气,划伤,2.6,胶水固化参数设置错误
2739,ECU控制器,戴硕电子传媒有限公司,尺寸,短路,1.2,胶水固化参数设置错误
2740,前门密封条,趋势科技有限公司,尺寸,间隙超差,1.4,设备定位销磨损导致加工位置度超差
2741,前门密封条,联软信息有限公司,功能,划伤,0.1,设备定位销磨损导致加工位置度超差
2742,前门密封条,时空盒数字科技有限公司,材料,压印,1.5,来料批次材料硬度超标
2743,后顶盖外板组件,毕博诚网络有限公司,外观,划伤,0.2,设备定位销磨损导致加工位置度超差
2744,ECU控制器,商软冠联传媒有限公司,尺寸,短路,2.4,来料批次材料硬度超标
2745,后顶盖外板组件,戴硕电子信息有限公司,电气,短路,4.6,设备定位销磨损导致加工位置度超差
2746,后顶盖外板组件,群英信息有限公司,尺寸,压印,3.2,设备定位销磨损导致加工位置度超差
2747,线束总成,九方科技有限公司,功能,压印,2.4,设备定位销磨损导致加工位置度超差
2748,后顶盖外板组件,双敏电子传媒有限公司,尺寸,压印,2.3,设备定位销磨损导致加工位置度超差
2749,前门密封条,艾提科信网络有限公司,尺寸,间隙超差,1.7,胶水固化参数设置错误
2750,后顶盖外板组件,万迅电脑传媒有限公司,电气,间隙超差,0.4,来料批次材料硬度超标
2751,ECU控制器,时空盒数字网络有限公司,电气,划伤,4.7,设备定位销磨损导致加工位置度超差
2752,前门密封条,趋势传媒有限公司,功能,压印,1.9,来料批次材料硬度超标
2753,ECU控制器,巨奥科技有限公司,尺寸,色差,0.4,设备定位销磨损导致加工位置度超差
2754,后顶盖外板组件,凌云信息有限公司,材料,压印,3.1,设备定位销磨损导致加工位置度超差
2755,车门铰链总成,盟新科技有限公司,材料,压印,2.3,设备定位销磨损导致加工位置度超差
2756,车门铰链总成,万迅电脑网络有限公司,外观,划伤,2.4,胶水固化参数设置错误
2757,后顶盖外板组件,易动力传媒有限公司,外观,压印,2.5,胶水固化参数设置错误
2758,前门密封条,雨林木风计算机传媒有限公司,材料,划伤,2.7,设备定位销磨损导致加工位置度超差
2759,线束总成,易动力信息有限公司,外观,短路,4.3,来料批次材料硬度超标
2760,后顶盖外板组件,数字100网络有限公司,电气,色差,1.7,设备定位销磨损导致加工位置度超差
2761,车门铰链总成,恩悌传媒有限公司,外观,间隙超差,3,设备定位销磨损导致加工位置度超差
2762,后顶盖外板组件,鸿睿思博传媒有限公司,材料,色差,3.3,胶水固化参数设置错误
2763,后顶盖外板组件,万迅电脑网络有限公司,功能,划伤,0.8,设备定位销磨损导致加工位置度超差
2764,ECU控制器,巨奥科技有限公司,电气,色差,3.3,胶水固化参数设置错误
2765,后顶盖外板组件,新宇龙信息传媒有限公司,电气,短路,1.5,设备定位销磨损导致加工位置度超差
2766,后顶盖外板组件,时刻传媒有限公司,电气,色差,3.2,设备定位销磨损导致加工位置度超差
2767,车门铰链总成,海创信息有限公司,材料,划伤,4.1,来料批次材料硬度超标
2768,ECU控制器,合联电子传媒有限公司,材料,压印,1.3,胶水固化参数设置错误
2769,线束总成,精芯科技有限公司,外观,压印,4.6,来料批次材料硬度超标
2770,后顶盖外板组件,彩虹传媒有限公司,尺寸,划伤,3.4,胶水固化参数设置错误
2771,车门铰链总成,创汇科技有限公司,材料,短路,3.6,来料批次材料硬度超标
2772,后顶盖外板组件,惠派国际公司传媒有限公司,材料,色差,3.1,胶水固化参数设置错误
2773,前门密封条,明腾网络有限公司,电气,压印,2.8,来料批次材料硬度超标
2774,线束总成,明腾信息有限公司,功能,压印,0.4,胶水固化参数设置错误
2775,后顶盖外板组件,良诺信息有限公司,电气,短路,4.4,胶水固化参数设置错误
2776,ECU控制器,九方传媒有限公司,外观,色差,3.6,来料批次材料硬度超标
2777,后顶盖外板组件,联通时科传媒有限公司,功能,压印,4,胶水固化参数设置错误
2778,前门密封条,迪摩传媒有限公司,尺寸,短路,0.6,胶水固化参数设置错误
2779,ECU控制器,盟新信息有限公司,尺寸,短路,1.4,来料批次材料硬度超标
2780,前门密封条,万迅电脑传媒有限公司,外观,压印,2,设备定位销磨损导致加工位置度超差
2781,后顶盖外板组件,商软冠联信息有限公司,电气,间隙超差,2.2,设备定位销磨损导致加工位置度超差
2782,车门铰链总成,九方科技有限公司,功能,短路,3.6,设备定位销磨损导致加工位置度超差
2783,线束总成,七喜传媒有限公司,尺寸,压印,4.9,胶水固化参数设置错误
2784,线束总成,新宇龙信息信息有限公司,外观,短路,1,来料批次材料硬度超标
2785,ECU控制器,天益网络有限公司,电气,短路,1.7,胶水固化参数设置错误
2786,后顶盖外板组件,维旺明信息有限公司,材料,短路,1.4,来料批次材料硬度超标
2787,前门密封条,商软冠联网络有限公司,外观,压印,5,设备定位销磨损导致加工位置度超差
2788,ECU控制器,天开网络有限公司,尺寸,色差,4.1,胶水固化参数设置错误
2789,前门密封条,襄樊地球村科技有限公司,外观,划伤,1,设备定位销磨损导致加工位置度超差
2790,后顶盖外板组件,南康网络有限公司,电气,压印,4.3,胶水固化参数设置错误
2791,前门密封条,超艺传媒有限公司,材料,间隙超差,4,设备定位销磨损导致加工位置度超差
2792,后顶盖外板组件,群英传媒有限公司,功能,短路,1.4,来料批次材料硬度超标
2793,车门铰链总成,海创传媒有限公司,外观,间隙超差,4.1,来料批次材料硬度超标
2794,车门铰链总成,和泰科技有限公司,外观,压印,0.2,设备定位销磨损导致加工位置度超差
2795,前门密封条,鸿睿思博信息有限公司,尺寸,色差,3.5,胶水固化参数设置错误
2796,前门密封条,昊嘉网络有限公司,功能,压印,4.8,设备定位销磨损导致加工位置度超差
2797,后顶盖外板组件,浙大万朋网络有限公司,尺寸,短路,4.5,设备定位销磨损导致加工位置度超差
2798,车门铰链总成,华泰通安信息有限公司,功能,色差,2.5,胶水固化参数设置错误
2799,线束总成,海创信息有限公司,电气,压印,4.5,胶水固化参数设置错误
2800,前门密封条,华成育卓科技有限公司,电气,压印,2.6,来料批次材料硬度超标
2801,车门铰链总成,商软冠联信息有限公司,电气,间隙超差,2.7,设备定位销磨损导致加工位置度超差
2802,线束总成,联软信息有限公司,材料,划伤,3,设备定位销磨损导致加工位置度超差
2803,后顶盖外板组件,凌颖信息传媒有限公司,电气,划伤,3.9,设备定位销磨损导致加工位置度超差
2804,后顶盖外板组件,维旺明信息有限公司,材料,划伤,1.4,设备定位销磨损导致加工位置度超差
2805,ECU控制器,飞海科技网络有限公司,材料,划伤,4,胶水固化参数设置错误
2806,ECU控制器,思优科技有限公司,材料,间隙超差,3.1,胶水固化参数设置错误
2807,前门密封条,数字100网络有限公司,功能,短路,0.5,来料批次材料硬度超标
2808,ECU控制器,盟新网络有限公司,电气,压印,4.4,设备定位销磨损导致加工位置度超差
2809,后顶盖外板组件,明腾传媒有限公司,电气,间隙超差,3.8,设备定位销磨损导致加工位置度超差
2810,后顶盖外板组件,襄樊地球村科技有限公司,材料,划伤,3.5,胶水固化参数设置错误
2811,前门密封条,毕博诚传媒有限公司,尺寸,划伤,1.1,胶水固化参数设置错误
2812,ECU控制器,商软冠联信息有限公司,外观,划伤,0.3,设备定位销磨损导致加工位置度超差
2813,后顶盖外板组件,毕博诚传媒有限公司,尺寸,色差,3,胶水固化参数设置错误
2814,后顶盖外板组件,彩虹科技有限公司,电气,间隙超差,0.3,来料批次材料硬度超标
2815,ECU控制器,济南亿次元信息有限公司,材料,划伤,1.8,来料批次材料硬度超标
2816,车门铰链总成,通际名联信息有限公司,尺寸,划伤,3.2,胶水固化参数设置错误
2817,ECU控制器,创联世纪网络有限公司,电气,划伤,1.5,胶水固化参数设置错误
2818,前门密封条,华远软件信息有限公司,材料,划伤,4.4,来料批次材料硬度超标
2819,线束总成,凌颖信息科技有限公司,尺寸,短路,3.3,设备定位销磨损导致加工位置度超差
2820,车门铰链总成,维旺明科技有限公司,功能,压印,2.8,来料批次材料硬度超标
2821,车门铰链总成,雨林木风计算机网络有限公司,电气,划伤,4.7,来料批次材料硬度超标
2822,前门密封条,东方峻景传媒有限公司,材料,间隙超差,2.5,来料批次材料硬度超标
2823,线束总成,凌云科技有限公司,尺寸,短路,4.4,来料批次材料硬度超标
2824,后顶盖外板组件,群英传媒有限公司,外观,间隙超差,4,来料批次材料硬度超标
2825,车门铰链总成,彩虹传媒有限公司,外观,间隙超差,4.1,设备定位销磨损导致加工位置度超差
2826,车门铰链总成,九方信息有限公司,尺寸,短路,0.3,来料批次材料硬度超标
2827,ECU控制器,七喜传媒有限公司,材料,色差,2.9,设备定位销磨损导致加工位置度超差
2828,线束总成,维涛信息有限公司,电气,划伤,3.1,胶水固化参数设置错误
2829,ECU控制器,商软冠联网络有限公司,尺寸,短路,1.1,设备定位销磨损导致加工位置度超差
2830,前门密封条,方正科技科技有限公司,功能,间隙超差,4.7,来料批次材料硬度超标
2831,车门铰链总成,富罳传媒有限公司,功能,间隙超差,1.3,设备定位销磨损导致加工位置度超差
2832,后顶盖外板组件,创汇信息有限公司,功能,间隙超差,4.3,胶水固化参数设置错误
2833,前门密封条,恒聪百汇科技有限公司,材料,短路,3.3,设备定位销磨损导致加工位置度超差
2834,线束总成,创汇传媒有限公司,外观,色差,2,来料批次材料硬度超标
2835,车门铰链总成,维旺明传媒有限公司,功能,压印,0.3,设备定位销磨损导致加工位置度超差
2836,后顶盖外板组件,南康科技有限公司,材料,压印,4.8,设备定位销磨损导致加工位置度超差
2837,前门密封条,菊风公司科技有限公司,材料,短路,1.5,来料批次材料硬度超标
2838,前门密封条,华成育卓网络有限公司,外观,压印,2.7,设备定位销磨损导致加工位置度超差
2839,线束总成,和泰科技有限公司,功能,色差,4.7,设备定位销磨损导致加工位置度超差
2840,ECU控制器,诺依曼软件传媒有限公司,功能,划伤,1.9,设备定位销磨损导致加工位置度超差
2841,后顶盖外板组件,恩悌科技有限公司,电气,色差,3.4,胶水固化参数设置错误
2842,后顶盖外板组件,昊嘉科技有限公司,电气,短路,3.5,胶水固化参数设置错误
2843,线束总成,恩悌传媒有限公司,功能,色差,0.7,设备定位销磨损导致加工位置度超差
2844,前门密封条,联软网络有限公司,材料,色差,0.7,胶水固化参数设置错误
2845,ECU控制器,超艺传媒有限公司,尺寸,短路,3.6,设备定位销磨损导致加工位置度超差
2846,线束总成,商软冠联网络有限公司,功能,色差,2,来料批次材料硬度超标
2847,车门铰链总成,数字100网络有限公司,外观,间隙超差,3.2,来料批次材料硬度超标
2848,线束总成,昂歌信息传媒有限公司,电气,划伤,3.6,胶水固化参数设置错误
2849,后顶盖外板组件,银嘉信息有限公司,功能,色差,1.8,来料批次材料硬度超标
2850,前门密封条,海创信息有限公司,功能,划伤,4.3,设备定位销磨损导致加工位置度超差
2851,线束总成,创亿传媒有限公司,功能,压印,3.6,设备定位销磨损导致加工位置度超差
2852,车门铰链总成,富罳科技有限公司,功能,色差,2.1,来料批次材料硬度超标
2853,后顶盖外板组件,恩悌科技有限公司,外观,压印,1.7,设备定位销磨损导致加工位置度超差
2854,前门密封条,佳禾传媒有限公司,尺寸,间隙超差,1.8,设备定位销磨损导致加工位置度超差
2855,车门铰链总成,黄石金承信息有限公司,电气,短路,2.9,胶水固化参数设置错误
2856,后顶盖外板组件,同兴万点信息有限公司,电气,划伤,2.6,设备定位销磨损导致加工位置度超差
2857,线束总成,太极科技有限公司,材料,压印,1.8,胶水固化参数设置错误
2858,后顶盖外板组件,戴硕电子传媒有限公司,尺寸,划伤,1,设备定位销磨损导致加工位置度超差
2859,车门铰链总成,九方传媒有限公司,尺寸,短路,0.4,设备定位销磨损导致加工位置度超差
2860,车门铰链总成,济南亿次元网络有限公司,材料,色差,4.9,胶水固化参数设置错误
2861,前门密封条,思优网络有限公司,功能,色差,0.2,设备定位销磨损导致加工位置度超差
2862,线束总成,四通网络有限公司,外观,短路,3.7,胶水固化参数设置错误
2863,线束总成,浙大万朋传媒有限公司,外观,色差,3.8,来料批次材料硬度超标
2864,车门铰链总成,菊风公司网络有限公司,功能,压印,3.3,设备定位销磨损导致加工位置度超差
2865,线束总成,MBP软件信息有限公司,电气,短路,4.1,胶水固化参数设置错误
2866,ECU控制器,方正科技信息有限公司,电气,划伤,2.7,胶水固化参数设置错误
2867,后顶盖外板组件,合联电子科技有限公司,电气,划伤,3.7,设备定位销磨损导致加工位置度超差
2868,线束总成,四通网络有限公司,尺寸,短路,1.2,胶水固化参数设置错误
2869,车门铰链总成,飞海科技信息有限公司,尺寸,压印,3.1,设备定位销磨损导致加工位置度超差
2870,ECU控制器,群英传媒有限公司,电气,压印,1.5,胶水固化参数设置错误
2871,前门密封条,通际名联传媒有限公司,电气,短路,4.2,设备定位销磨损导致加工位置度超差
2872,线束总成,恩悌科技有限公司,电气,压印,4.9,设备定位销磨损导致加工位置度超差
2873,前门密封条,通际名联科技有限公司,功能,划伤,4.1,设备定位销磨损导致加工位置度超差
2874,前门密封条,黄石金承信息有限公司,功能,间隙超差,1.5,胶水固化参数设置错误
2875,车门铰链总成,晖来计算机网络有限公司,电气,压印,3.7,设备定位销磨损导致加工位置度超差
2876,车门铰链总成,兰金电子科技有限公司,材料,间隙超差,4.5,设备定位销磨损导致加工位置度超差
2877,车门铰链总成,思优科技有限公司,功能,短路,3.6,来料批次材料硬度超标
2878,后顶盖外板组件,华远软件科技有限公司,材料,压印,1.5,胶水固化参数设置错误
2879,线束总成,佳禾科技有限公司,尺寸,色差,3.2,设备定位销磨损导致加工位置度超差
2880,线束总成,图龙信息科技有限公司,尺寸,短路,3.5,来料批次材料硬度超标
2881,线束总成,方正科技传媒有限公司,电气,色差,2.6,来料批次材料硬度超标
2882,后顶盖外板组件,凌云信息有限公司,电气,短路,4.2,设备定位销磨损导致加工位置度超差
2883,后顶盖外板组件,联通时科传媒有限公司,外观,划伤,4.4,胶水固化参数设置错误
2884,线束总成,太极科技有限公司,电气,色差,2.1,来料批次材料硬度超标
2885,车门铰链总成,泰麒麟科技有限公司,尺寸,压印,3.2,设备定位销磨损导致加工位置度超差
2886,后顶盖外板组件,创亿网络有限公司,尺寸,色差,2.6,设备定位销磨损导致加工位置度超差
2887,后顶盖外板组件,彩虹信息有限公司,功能,间隙超差,1.4,设备定位销磨损导致加工位置度超差
2888,前门密封条,襄樊地球村网络有限公司,外观,色差,4.1,设备定位销磨损导致加工位置度超差
2889,前门密封条,盟新科技有限公司,外观,间隙超差,0.9,设备定位销磨损导致加工位置度超差
2890,ECU控制器,七喜网络有限公司,外观,划伤,2.8,胶水固化参数设置错误
2891,前门密封条,迪摩网络有限公司,电气,短路,2.6,来料批次材料硬度超标
2892,ECU控制器,易动力科技有限公司,材料,间隙超差,3.6,来料批次材料硬度超标
2893,车门铰链总成,海创信息有限公司,尺寸,短路,3.7,设备定位销磨损导致加工位置度超差
2894,车门铰链总成,易动力科技有限公司,电气,压印,2.4,设备定位销磨损导致加工位置度超差
2895,线束总成,菊风公司信息有限公司,电气,划伤,2.3,胶水固化参数设置错误
2896,ECU控制器,同兴万点传媒有限公司,尺寸,压印,1.2,来料批次材料硬度超标
2897,ECU控制器,商软冠联传媒有限公司,电气,色差,1.2,设备定位销磨损导致加工位置度超差
2898,线束总成,泰麒麟网络有限公司,外观,色差,0.5,设备定位销磨损导致加工位置度超差
2899,车门铰链总成,飞利信科技有限公司,尺寸,划伤,2.8,胶水固化参数设置错误
2900,线束总成,联软传媒有限公司,电气,压印,4.1,来料批次材料硬度超标
2901,后顶盖外板组件,图龙信息传媒有限公司,功能,短路,2.1,胶水固化参数设置错误
2902,ECU控制器,凌颖信息信息有限公司,尺寸,色差,1,胶水固化参数设置错误
2903,车门铰链总成,南康传媒有限公司,材料,短路,4.6,设备定位销磨损导致加工位置度超差
2904,车门铰链总成,商软冠联网络有限公司,材料,色差,2.2,来料批次材料硬度超标
2905,车门铰链总成,雨林木风计算机科技有限公司,外观,划伤,4.6,来料批次材料硬度超标
2906,前门密封条,时空盒数字网络有限公司,外观,划伤,1,设备定位销磨损导致加工位置度超差
2907,线束总成,黄石金承科技有限公司,功能,短路,4.4,设备定位销磨损导致加工位置度超差
2908,ECU控制器,浙大万朋信息有限公司,尺寸,色差,1.8,胶水固化参数设置错误
2909,车门铰链总成,联通时科网络有限公司,电气,划伤,2.7,设备定位销磨损导致加工位置度超差
2910,前门密封条,巨奥传媒有限公司,材料,压印,2.1,胶水固化参数设置错误
2911,前门密封条,巨奥网络有限公司,电气,色差,3.9,胶水固化参数设置错误
2912,前门密封条,维涛科技有限公司,尺寸,压印,4.1,设备定位销磨损导致加工位置度超差
2913,线束总成,商软冠联信息有限公司,电气,短路,0.2,设备定位销磨损导致加工位置度超差
2914,车门铰链总成,方正科技信息有限公司,尺寸,色差,2.9,胶水固化参数设置错误
2915,车门铰链总成,昂歌信息信息有限公司,电气,划伤,2.4,设备定位销磨损导致加工位置度超差
2916,后顶盖外板组件,飞利信科技有限公司,功能,色差,1.8,设备定位销磨损导致加工位置度超差
2917,车门铰链总成,商软冠联信息有限公司,尺寸,间隙超差,0.8,设备定位销磨损导致加工位置度超差
2918,ECU控制器,天开信息有限公司,功能,色差,3.9,设备定位销磨损导致加工位置度超差
2919,线束总成,商软冠联科技有限公司,外观,压印,1.5,设备定位销磨损导致加工位置度超差
2920,车门铰链总成,同兴万点科技有限公司,材料,色差,2,胶水固化参数设置错误
2921,前门密封条,联通时科科技有限公司,外观,间隙超差,0.1,胶水固化参数设置错误
2922,ECU控制器,晖来计算机网络有限公司,外观,短路,1.1,胶水固化参数设置错误
2923,ECU控制器,凌颖信息信息有限公司,外观,间隙超差,3.9,胶水固化参数设置错误
2924,ECU控制器,方正科技传媒有限公司,功能,间隙超差,0.1,来料批次材料硬度超标
2925,ECU控制器,东方峻景信息有限公司,材料,短路,4.2,来料批次材料硬度超标
2926,车门铰链总成,网新恒天网络有限公司,材料,划伤,1,设备定位销磨损导致加工位置度超差
2927,后顶盖外板组件,巨奥传媒有限公司,尺寸,划伤,1.6,设备定位销磨损导致加工位置度超差
2928,ECU控制器,中建创业网络有限公司,材料,划伤,2.8,设备定位销磨损导致加工位置度超差
2929,前门密封条,华泰通安网络有限公司,材料,间隙超差,1.2,设备定位销磨损导致加工位置度超差
2930,ECU控制器,泰麒麟传媒有限公司,功能,色差,4.6,设备定位销磨损导致加工位置度超差
2931,ECU控制器,黄石金承科技有限公司,材料,压印,2,胶水固化参数设置错误
2932,线束总成,时空盒数字信息有限公司,外观,划伤,0.3,胶水固化参数设置错误
2933,车门铰链总成,同兴万点网络有限公司,材料,划伤,3.6,来料批次材料硬度超标
2934,ECU控制器,晖来计算机科技有限公司,尺寸,压印,4.4,设备定位销磨损导致加工位置度超差
2935,车门铰链总成,七喜网络有限公司,外观,短路,0.7,设备定位销磨损导致加工位置度超差
2936,线束总成,鑫博腾飞传媒有限公司,外观,短路,4.9,设备定位销磨损导致加工位置度超差
2937,车门铰链总成,飞海科技信息有限公司,功能,短路,4.4,来料批次材料硬度超标
2938,后顶盖外板组件,同兴万点传媒有限公司,材料,短路,0.8,来料批次材料硬度超标
2939,前门密封条,时刻传媒有限公司,功能,压印,4.2,胶水固化参数设置错误
2940,车门铰链总成,创亿传媒有限公司,功能,划伤,2.4,胶水固化参数设置错误
2941,前门密封条,恒聪百汇网络有限公司,功能,压印,2.4,胶水固化参数设置错误
2942,前门密封条,信诚致远网络有限公司,功能,压印,0.2,来料批次材料硬度超标
2943,ECU控制器,维涛信息有限公司,电气,划伤,4.5,胶水固化参数设置错误
2944,ECU控制器,九方信息有限公司,外观,短路,0.3,设备定位销磨损导致加工位置度超差
2945,后顶盖外板组件,九方网络有限公司,尺寸,压印,4.7,来料批次材料硬度超标
2946,ECU控制器,太极信息有限公司,尺寸,短路,3.5,胶水固化参数设置错误
2947,车门铰链总成,华泰通安信息有限公司,电气,间隙超差,0.7,来料批次材料硬度超标
2948,前门密封条,凌颖信息传媒有限公司,外观,色差,2.7,胶水固化参数设置错误
2949,线束总成,明腾传媒有限公司,材料,划伤,3,设备定位销磨损导致加工位置度超差
2950,线束总成,飞海科技传媒有限公司,尺寸,短路,2.5,设备定位销磨损导致加工位置度超差
2951,线束总成,趋势网络有限公司,外观,压印,4,设备定位销磨损导致加工位置度超差
2952,车门铰链总成,立信电子信息有限公司,电气,色差,2.6,来料批次材料硬度超标
2953,ECU控制器,飞利信网络有限公司,电气,短路,1,来料批次材料硬度超标
2954,后顶盖外板组件,良诺科技有限公司,外观,压印,1,设备定位销磨损导致加工位置度超差
2955,ECU控制器,诺依曼软件传媒有限公司,尺寸,短路,3.5,胶水固化参数设置错误
2956,车门铰链总成,维涛科技有限公司,外观,短路,3.3,胶水固化参数设置错误
2957,ECU控制器,国讯信息有限公司,电气,间隙超差,2,设备定位销磨损导致加工位置度超差
2958,车门铰链总成,群英科技有限公司,功能,色差,4.4,胶水固化参数设置错误
2959,ECU控制器,双敏电子传媒有限公司,尺寸,压印,0.7,来料批次材料硬度超标
2960,ECU控制器,趋势信息有限公司,材料,短路,3,胶水固化参数设置错误
2961,车门铰链总成,诺依曼软件信息有限公司,尺寸,短路,5,来料批次材料硬度超标
2962,ECU控制器,思优科技有限公司,电气,压印,4,来料批次材料硬度超标
2963,车门铰链总成,时刻科技有限公司,功能,色差,3.3,来料批次材料硬度超标
2964,线束总成,毕博诚科技有限公司,功能,短路,0.8,胶水固化参数设置错误
2965,ECU控制器,华泰通安科技有限公司,功能,间隙超差,3.3,设备定位销磨损导致加工位置度超差
2966,车门铰链总成,网新恒天传媒有限公司,材料,压印,3.6,来料批次材料硬度超标
2967,前门密封条,时刻科技有限公司,外观,短路,3.8,设备定位销磨损导致加工位置度超差
2968,后顶盖外板组件,天益网络有限公司,尺寸,间隙超差,3.3,胶水固化参数设置错误
2969,车门铰链总成,合联电子传媒有限公司,功能,短路,0.6,来料批次材料硬度超标
2970,后顶盖外板组件,维旺明科技有限公司,材料,划伤,1.6,来料批次材料硬度超标
2971,车门铰链总成,数字100科技有限公司,功能,间隙超差,3.7,设备定位销磨损导致加工位置度超差
2972,线束总成,信诚致远信息有限公司,功能,色差,4,设备定位销磨损导致加工位置度超差
2973,后顶盖外板组件,艾提科信信息有限公司,功能,间隙超差,2,胶水固化参数设置错误
2974,前门密封条,晖来计算机科技有限公司,电气,间隙超差,1.9,来料批次材料硬度超标
2975,车门铰链总成,创汇网络有限公司,材料,划伤,2.6,来料批次材料硬度超标
2976,后顶盖外板组件,七喜网络有限公司,外观,短路,4.7,来料批次材料硬度超标
2977,前门密封条,艾提科信信息有限公司,外观,色差,3.8,胶水固化参数设置错误
2978,ECU控制器,凌云科技有限公司,材料,色差,3.1,设备定位销磨损导致加工位置度超差
2979,前门密封条,鸿睿思博信息有限公司,电气,压印,1.2,设备定位销磨损导致加工位置度超差
2980,后顶盖外板组件,巨奥传媒有限公司,材料,划伤,0.6,胶水固化参数设置错误
